run2_roverlaps.txt	BAM	Total	Exons	CDS	Introns	5UTR	3UTR
run2_roverlaps.txt	5_00	1278269	3183389	2451295	487565	363257	496990
run2_roverlaps.txt	5_02	26292494	68087967	52457407	7011985	8074798	10118578
run2_roverlaps.txt	5_04	19198002	48431773	37784569	5535145	5623581	6826878
run2_roverlaps.txt	5_05	16146008	37257126	28354556	10073922	3955642	6700096
run2_roverlaps.txt	6_00	1327972	2920762	2170708	1019939	314865	588308
run2_roverlaps.txt	6_06	20495358	45279246	34250722	12196086	5357493	8212065
run2_roverlaps.txt	6_07	16368425	38545613	27403196	9881850	3182240	9926659
run2_roverlaps.txt	6_12	33772488	76203262	57659715	27617124	8983612	13535370
run2_roverlaps.txt	7_00	2245663	5574401	4296664	904131	652277	863631
run2_roverlaps.txt	7_02	30460747	79090861	61158598	8025147	9378754	11704186
run2_roverlaps.txt	7_04	29434186	75729320	59020587	8154983	8819477	10824710
run2_roverlaps.txt	7_05	24453891	56058187	42713859	15966703	6472841	9567718
run2_roverlaps.txt	8_00	1554854	3498711	2682195	1081923	404971	594922
run2_roverlaps.txt	8_06	28922035	65166472	50577071	17271371	7952730	10228967
run2_roverlaps.txt	8_07	26709258	63002685	47583852	17458247	7210185	11452656
run2_roverlaps.txt	8_12	22525862	50230363	38215702	18127614	5956802	8807798
run3_roverlaps.txt	BAM	Total	Exons	CDS	Introns	5UTR	3UTR
run3_roverlaps.txt	2_00	132089	144291	104624	190029	12909	28693
run3_roverlaps.txt	2_01	2114646	2688906	2038847	2828207	234084	455480
run3_roverlaps.txt	2_03	3292007	3545740	2594735	4624028	331449	650756
run3_roverlaps.txt	2_08	4105455	4908147	3715036	5251098	425350	816070
run3_roverlaps.txt	2_09	2540716	2436720	1749555	3834662	218648	490276
run3_roverlaps.txt	3_00	146476	147859	107915	281414	11139	30590
run3_roverlaps.txt	3_10	4036147	4030020	2980871	7980767	326914	777411
run3_roverlaps.txt	3_11	2959616	3700192	2770532	4784057	284219	690128
run3_roverlaps.txt	3_20	4504830	5062921	3770558	7680134	400000	948270
run3_roverlaps.txt	3_21	3654328	4419794	3321660	6022925	361220	806797
run3_roverlaps.txt	5_00	176208	179735	131919	367918	14559	36427
run3_roverlaps.txt	5_22	2496088	3449439	2587165	3969714	287998	634784
run3_roverlaps.txt	5_23	2952207	3466038	2590812	5371930	283833	637211
run3_roverlaps.txt	5_25	3386267	3926625	2925548	6196194	339168	713567
run3_roverlaps.txt	5_27	3752278	4562656	3390363	6710689	404049	842214
run3_roverlaps.txt	6_00	273646	283913	210113	445443	24525	55356
run3_roverlaps.txt	6_22	5810450	7360463	5638248	8076653	624453	1270697
run3_roverlaps.txt	6_23	5716934	6446320	4881780	8445416	570889	1125587
run3_roverlaps.txt	6_25	5132345	5460290	4074735	7982009	515146	964152
run3_roverlaps.txt	6_27	4305110	4359804	3206554	7394029	384849	840114
run3_roverlaps.txt	7_00	171781	184129	139944	321324	14031	34121
run3_roverlaps.txt	7_10	4178700	4938392	3769311	7318941	406301	869350
run3_roverlaps.txt	7_11	4776095	6153409	4782043	7716594	491486	1033524
run3_roverlaps.txt	7_20	5153176	5881003	4553854	9323063	482628	979623
run3_roverlaps.txt	7_21	4270630	4375787	3308974	8112848	347186	776791
run3_roverlaps.txt	8_00	297545	236795	177910	756882	19016	44378
run3_roverlaps.txt	8_01	4889168	4696087	3589942	10420588	397200	783994
run3_roverlaps.txt	8_03	5393361	6479640	4990509	10110852	543337	1052592
run3_roverlaps.txt	8_08	5291635	5729040	4353190	10646905	483134	988784
run3_roverlaps.txt	8_09	3152823	4009658	2994361	5515686	335593	742997
run4_roverlaps.txt	BAM	Total	Exons	CDS	Introns	5UTR	3UTR
run4_roverlaps.txt	2_00	173941	54390	17257	391151	6429	26805
run4_roverlaps.txt	2_02	5988618	1521013	410092	11703051	217204	754815
run4_roverlaps.txt	2_04	5181088	1543359	470053	12722930	177637	762499
run4_roverlaps.txt	2_05	3892573	1146149	332750	9754374	124670	557934
run4_roverlaps.txt	3_00	149063	48659	16449	338355	5838	22784
run4_roverlaps.txt	3_06	3435404	1380786	419550	7432688	184600	667094
run4_roverlaps.txt	3_07	3241190	1040562	295921	8539545	122583	524690
run4_roverlaps.txt	3_12	2635470	914362	232435	6396051	114882	452893
