BAM	Total	Exons	CDS	Introns	5UTR	3UTR
5_00	1278269	3183389	2451295	487565	363257	496990
5_02	26292494	68087967	52457407	7011985	8074798	10118578
5_04	19198002	48431773	37784569	5535145	5623581	6826878
5_05	16146008	37257126	28354556	10073922	3955642	6700096
6_00	1327972	2920762	2170708	1019939	314865	588308
6_06	20495358	45279246	34250722	12196086	5357493	8212065
6_07	16368425	38545613	27403196	9881850	3182240	9926659
6_12	33772488	76203262	57659715	27617124	8983612	13535370
7_00	2245663	5574401	4296664	904131	652277	863631
7_02	30460747	79090861	61158598	8025147	9378754	11704186
7_04	29434186	75729320	59020587	8154983	8819477	10824710
7_05	24453891	56058187	42713859	15966703	6472841	9567718
8_00	1554854	3498711	2682195	1081923	404971	594922
8_06	28922035	65166472	50577071	17271371	7952730	10228967
8_07	26709258	63002685	47583852	17458247	7210185	11452656
8_12	22525862	50230363	38215702	18127614	5956802	8807798
